"Team","Progress","Chance"
"New Zealand","Champions",64.04
"Ireland","Champions",2.49
"Australia","Champions",5.05
"Wales","Champions",0.77
"England","Champions",14.02
"France","Champions",0.21
"Scotland","Champions",0.31
"South Africa","Champions",12.74
"Georgia","Champions",0.03
"Argentina","Champions",0.3
"Fiji","Champions",0.03
"Japan","Champions",0.01
"New Zealand","Runner up",13.5
"Ireland","Runner up",11.53
"Australia","Runner up",17.7
"Wales","Runner up",3.44
"England","Runner up",13.34
"France","Runner up",2.23
"Scotland","Runner up",1.96
"South Africa","Runner up",32.95
"Georgia","Runner up",0.29
"Namibia","Runner up",0.02
"Samoa","Runner up",0.04
"Argentina","Runner up",1.95
"Fiji","Runner up",0.67
"Italy","Runner up",0.01
"Japan","Runner up",0.22
"Romania","Runner up",0.08
"United States of America","Runner up",0.05
"Morocco","Runner up",0.02
"New Zealand","Bronze",14.64
"Ireland","Bronze",4.81
"Australia","Bronze",16.41
"Wales","Bronze",5.13
"England","Bronze",37.38
"France","Bronze",2.37
"Scotland","Bronze",1.67
"South Africa","Bronze",13.31
"Georgia","Bronze",0.53
"Namibia","Bronze",0.01
"Samoa","Bronze",0.04
"Tonga","Bronze",0.01
"Argentina","Bronze",2.08
"Fiji","Bronze",1.28
"Japan","Bronze",0.15
"Romania","Bronze",0.08
"United States of America","Bronze",0.05
"Morocco","Bronze",0.05
"New Zealand","Fourth place",1.68
"Ireland","Fourth place",7.97
"Australia","Fourth place",21.57
"Wales","Fourth place",11.38
"England","Fourth place",14.21
"France","Fourth place",10.27
"Scotland","Fourth place",3.58
"South Africa","Fourth place",10.12
"Georgia","Fourth place",2.07
"Namibia","Fourth place",0.11
"Samoa","Fourth place",0.29
"Tonga","Fourth place",0.18
"Argentina","Fourth place",8.58
"Fiji","Fourth place",5.29
"Italy","Fourth place",0.03
"Japan","Fourth place",0.85
"Romania","Fourth place",0.66
"United States of America","Fourth place",0.92
"Uruguay","Fourth place",0.01
"Cook Islands","Fourth place",0.01
"Kenya","Fourth place",0.02
"Morocco","Fourth place",0.16
"Russia","Fourth place",0.02
"Senegal","Fourth place",0.02
"New Zealand","Quarter finals",5.95
"Ireland","Quarter finals",65.7
"Australia","Quarter finals",30.12
"Wales","Quarter finals",36.25
"England","Quarter finals",19.04
"France","Quarter finals",34.23
"Scotland","Quarter finals",57.06
"South Africa","Quarter finals",25.05
"Georgia","Quarter finals",13.16
"Namibia","Quarter finals",1.26
"Samoa","Quarter finals",3.97
"Tonga","Quarter finals",3.34
"Argentina","Quarter finals",25.18
"Czech Republic","Quarter finals",0.04
"Fiji","Quarter finals",28.23
"Italy","Quarter finals",0.54
"Japan","Quarter finals",19.17
"Romania","Quarter finals",16.58
"United States of America","Quarter finals",9.7
"Uruguay","Quarter finals",0.61
"Belgium","Quarter finals",0.03
"Canada","Quarter finals",0.08
"Cook Islands","Quarter finals",0.01
"Germany","Quarter finals",0.04
"Hong Kong","Quarter finals",0.07
"Kenya","Quarter finals",0.54
"Malaysia","Quarter finals",0.03
"Morocco","Quarter finals",1.94
"Portugal","Quarter finals",0.01
"Russia","Quarter finals",0.86
"Senegal","Quarter finals",0.21
"Spain","Quarter finals",0.87
"Tunisia","Quarter finals",0.1
"Uganda","Quarter finals",0.02
"Zimbabwe","Quarter finals",0.01
"New Zealand","Automatic qualifiation for RWC 2021",0.19
"Ireland","Automatic qualifiation for RWC 2021",5.92
"Australia","Automatic qualifiation for RWC 2021",7.47
"Wales","Automatic qualifiation for RWC 2021",30.79
"England","Automatic qualifiation for RWC 2021",1.84
"France","Automatic qualifiation for RWC 2021",29.46
"Scotland","Automatic qualifiation for RWC 2021",23.03
"South Africa","Automatic qualifiation for RWC 2021",5.71
"Georgia","Automatic qualifiation for RWC 2021",24.74
"Namibia","Automatic qualifiation for RWC 2021",18.66
"Samoa","Automatic qualifiation for RWC 2021",16.42
"Tonga","Automatic qualifiation for RWC 2021",15.61
"Argentina","Automatic qualifiation for RWC 2021",39.4
"Czech Republic","Automatic qualifiation for RWC 2021",0.67
"Fiji","Automatic qualifiation for RWC 2021",34
"Italy","Automatic qualifiation for RWC 2021",22.69
"Japan","Automatic qualifiation for RWC 2021",35.29
"Romania","Automatic qualifiation for RWC 2021",23.81
"United States of America","Automatic qualifiation for RWC 2021",15.77
"Uruguay","Automatic qualifiation for RWC 2021",4.46
"Belgium","Automatic qualifiation for RWC 2021",0.22
"Canada","Automatic qualifiation for RWC 2021",1.48
"Cook Islands","Automatic qualifiation for RWC 2021",1.64
"Germany","Automatic qualifiation for RWC 2021",0.14
"Hong Kong","Automatic qualifiation for RWC 2021",1.8
"Kenya","Automatic qualifiation for RWC 2021",8.83
"Malaysia","Automatic qualifiation for RWC 2021",0.86
"Morocco","Automatic qualifiation for RWC 2021",13.62
"Portugal","Automatic qualifiation for RWC 2021",0.27
"Russia","Automatic qualifiation for RWC 2021",3.55
"Senegal","Automatic qualifiation for RWC 2021",4.48
"Spain","Automatic qualifiation for RWC 2021",3.8
"Tunisia","Automatic qualifiation for RWC 2021",2.37
"Uganda","Automatic qualifiation for RWC 2021",0.54
"Zimbabwe","Automatic qualifiation for RWC 2021",0.47
"Ireland","Group stage",1.58
"Australia","Group stage",1.68
"Wales","Group stage",12.24
"England","Group stage",0.17
"France","Group stage",21.23
"Scotland","Group stage",12.39
"South Africa","Group stage",0.12
"Georgia","Group stage",59.18
"Namibia","Group stage",18.67
"Samoa","Group stage",74.75
"Tonga","Group stage",75.38
"Argentina","Group stage",22.51
"Czech Republic","Group stage",7.51
"Fiji","Group stage",30.5
"Italy","Group stage",76.73
"Japan","Group stage",44.31
"Romania","Group stage",44.96
"United States of America","Group stage",73.51
"Uruguay","Group stage",63.27
"Belgium","Group stage",2.79
"Canada","Group stage",41.07
"Cook Islands","Group stage",6.81
"Germany","Group stage",3.63
"Hong Kong","Group stage",6.49
"Kenya","Group stage",13.18
"Malaysia","Group stage",3.44
"Morocco","Group stage",17.25
"Portugal","Group stage",4.75
"Russia","Group stage",18.95
"Senegal","Group stage",8.22
"South Korea","Group stage",0.12
"Spain","Group stage",20.31
"Tahiti","Group stage",0.11
"Tunisia","Group stage",5.36
"Uganda","Group stage",1.64
"Zimbabwe","Group stage",1.64
"Namibia","Did not qualify",61.27
"Samoa","Did not qualify",4.49
"Tonga","Did not qualify",5.48
"Czech Republic","Did not qualify",91.78
"Romania","Did not qualify",13.83
"Uruguay","Did not qualify",31.65
"Belgium","Did not qualify",96.96
"Canada","Did not qualify",57.37
"Cook Islands","Did not qualify",91.53
"Germany","Did not qualify",96.19
"Hong Kong","Did not qualify",91.64
"Kenya","Did not qualify",77.43
"Malaysia","Did not qualify",95.67
"Morocco","Did not qualify",66.96
"Portugal","Did not qualify",94.97
"Russia","Did not qualify",76.62
"Senegal","Did not qualify",87.07
"South Korea","Did not qualify",99.88
"Spain","Did not qualify",75.02
"Tahiti","Did not qualify",99.89
"Tunisia","Did not qualify",92.17
"Uganda","Did not qualify",97.8
"Zimbabwe","Did not qualify",97.88
